10197967-n	n	"langrán"@gl
05254795-n	n	"pelo"@gl
05993844-n	n	"teoría científica"@gl
09379111-n	n	"brecha"@gl
02958343-n	n	"turismo"@gl
06355894-n	n	"código"@gl
08654360-n	n	"provincia"@gl
03278248-n	n	"equipo electrónico"@gl
02084071-n	n	"can"@gl
13518963-n	n	"proceso natural"@gl
03791235-n	n	"vehículo autopropulsado"@gl
14818238-n	n	"composto químico"@gl
00235435-n	n	"principio"@gl
03309808-n	n	"tecido"@gl
03497657-n	n	"sombreiro"@gl
00378985-n	n	"composición"@gl
13121544-n	n	"planta hidrófita"@gl
01184814-n	n	"procedemento xudicial"@gl
00863513-n	n	"reflexo"@gl
10557854-n	n	"estudoso"@gl
07911677-n	n	"cóctel"@gl
11562747-n	n	"familia das magnoliopsidas"@gl
05788149-n	n	"resolución"@gl
06043075-n	n	"especialidade médica"@gl
06429590-n	n	"texto relixioso"@gl
03636248-n	n	"lámpada"@gl
06758225-n	n	"fraude"@gl
00752431-n	n	"fraude"@gl
02866578-n	n	"bomba"@gl
08198398-n	n	"unidade militar"@gl
08329453-n	n	"xulgado"@gl
03961939-n	n	"plataforma"@gl
04128837-n	n	"vela"@gl
01942177-n	n	"gasterópodos"@gl
07142566-n	n	"grupo de debate"@gl
04334599-n	n	"rúa"@gl
07314427-n	n	"desventura"@gl
05943300-n	n	"doutrina"@gl
01942177-n	n	"univalvos"@gl
00887081-n	n	"pedagoxía"@gl
00007846-n	n	"persoa"@gl
13244109-n	n	"posesións"@gl
07597365-n	n	"confeito"@gl
09608709-n	n	"benfeitor"@gl
07993929-n	n	"grupo animal"@gl
00624738-n	n	"exercicio físico"@gl
13604718-n	n	"unidade monetaria"@gl
03391770-n	n	"carcasa"@gl
03419014-n	n	"peza de roupa"@gl
05084201-n	n	"distancia"@gl
00986938-n	n	"fogo"@gl
04105893-n	n	"apousento"@gl
01657723-n	n	"xénero dos réptiles"@gl
09765278-n	n	"intérprete"@gl
02283201-n	n	"corta"@gl
04623612-n	n	"temperamento"@gl
07519253-n	n	"asombro"@gl
08061042-n	n	"negocio"@gl
05996646-n	n	"disciplina"@gl
09614684-n	n	"gardián"@gl
08329453-n	n	"tribunal"@gl
05436752-n	n	"xene"@gl
14127211-n	n	"morbo"@gl
08574314-n	n	"rexión"@gl
08630039-n	n	"rexión"@gl
04602044-n	n	"lugar de traballo"@gl
12998815-n	n	"agárico"@gl
10794014-n	n	"escritor"@gl
08103777-n	n	"clase"@gl
05839024-n	n	"clase"@gl
14465048-n	n	"anomalía conxénita"@gl
03988170-n	n	"poste"@gl
03828465-n	n	"antifloxístico sen esteroides"@gl
02958343-n	n	"coche"@gl
01432517-n	n	"xénero dos peixes"@gl
02283201-n	n	"cosco"@gl
10787470-n	n	"muller"@gl
01428580-n	n	"malacopterixio"@gl
07622708-n	n	"pastelaría"@gl
00520257-n	n	"demostración"@gl
15113229-n	n	"período"@gl
02528163-n	n	"teleósteos"@gl
00007846-n	n	"humano"@gl
09645091-n	n	"indio norteamericano"@gl
13255145-n	n	"ingreso"@gl
14792703-n	n	"carbohidrato"@gl
03665366-n	n	"fonte de luz"@gl
07707451-n	n	"verdura"@gl
04599396-n	n	"peza"@gl
01429349-n	n	"familia dos peixes"@gl
09360122-n	n	"picouto"@gl
09252970-n	n	"constelación"@gl
07109847-n	n	"emisión"@gl
10271677-n	n	"nobre"@gl
04956594-n	n	"colorido"@gl
01471682-n	n	"vertebrados"@gl
07971582-n	n	"dinastía"@gl
06568978-n	n	"programa"@gl
09551356-n	n	"divindade grega"@gl
05289297-n	n	"músculo"@gl
10284064-n	n	"creador"@gl
10214637-n	n	"creador"@gl
00023773-n	n	"motivo"@gl
08665504-n	n	"vila"@gl
05064037-n	n	"configuración"@gl
01639765-n	n	"ra"@gl
06037666-n	n	"ciencia biolóxica"@gl
04565375-n	n	"arma"@gl
08329453-n	n	"audiencia"@gl
05225602-n	n	"estrutura anatómica"@gl
00023271-n	n	"noese"@gl
08107499-n	n	"familia"@gl
09998101-n	n	"impostor"@gl
07570720-n	n	"nutrición"@gl
05269901-n	n	"óso"@gl
01184814-n	n	"dilixencia"@gl
05739043-n	n	"test diagnóstico"@gl
09927451-n	n	"pastor"@gl
08544813-n	n	"nación"@gl
10557854-n	n	"académico"@gl
10020890-n	n	"doutor"@gl
03236735-n	n	"vestido"@gl
00428270-n	n	"baile"@gl
05999797-n	n	"disciplina ciéntifica"@gl
03045337-n	n	"capa"@gl
05426243-n	n	"capa"@gl
07965085-n	n	"corpo"@gl
09545324-n	n	"ánima"@gl
06962600-n	n	"latín"@gl
04623612-n	n	"talante"@gl
00956485-n	n	"batalla campal"@gl
10794014-n	n	"autor"@gl
10249950-n	n	"letrado"@gl
07456188-n	n	"competición"@gl
14127211-n	n	"enfermidade infecciosa"@gl
13576355-n	n	"cantidade aproximada"@gl
06333653-n	n	"nome"@gl
03828465-n	n	"AINE"@gl
03247620-n	n	"medicamento"@gl
03740161-n	n	"medicamento"@gl
10467395-n	n	"presidente dos Estados Unidos de América"@gl
04105893-n	n	"estancia"@gl
04341686-n	n	"estrutura"@gl
05225602-n	n	"estrutura"@gl
14622893-n	n	"elemento químico"@gl
11590783-n	n	"familia dos fungos"@gl
00624738-n	n	"adestramento"@gl
13320168-n	n	"honorarios"@gl
00383606-n	n	"separación"@gl
14732946-n	n	"encima"@gl
00033615-n	n	"cantidade"@gl
14429985-n	n	"categoría"@gl
00385791-n	n	"división"@gl
07109847-n	n	"expresión"@gl
07151380-n	n	"expresión"@gl
01886756-n	n	"euterio"@gl
00031264-n	n	"agrupación"@gl
07965085-n	n	"agrupación"@gl
07809368-n	n	"aliño"@gl
04180314-n	n	"puntada"@gl
05617606-n	n	"intelixencia"@gl
02528163-n	n	"peixe teleósteo"@gl
00766234-n	n	"quebrantamento"@gl
14728724-n	n	"proteína"@gl
09870208-n	n	"púxil"@gl
09360122-n	n	"cima"@gl
01938850-n	n	"familia dos moluscos"@gl
03959936-n	n	"chapa"@gl
09444100-n	n	"estrela"@gl
05946687-n	n	"fe"@gl
08081668-n	n	"fe"@gl
06429590-n	n	"sagradas escrituras"@gl
08552138-n	n	"circunscrición"@gl
09513902-n	n	"divindade semítica"@gl
10197967-n	n	"preguiceiro"@gl
00235435-n	n	"apertura"@gl
01626600-n	n	"xénero dos anfibios"@gl
10439851-n	n	"xogador"@gl
07109847-n	n	"vocalización"@gl
00029677-n	n	"proceso"@gl
02815950-n	n	"viga"@gl
09989502-n	n	"danzarín"@gl
00586262-n	n	"cargo"@gl
07885223-n	n	"bebida"@gl
07881800-n	n	"bebida"@gl
11744859-n	n	"xénero das plantas"@gl
15184170-n	n	"festa relixiosa cristiá"@gl
01639765-n	n	"batracio"@gl
10020890-n	n	"facultativo"@gl
04108268-n	n	"soga"@gl
06613686-n	n	"filme"@gl
00023271-n	n	"cognición"@gl
10650162-n	n	"estadista"@gl
06568978-n	n	"programa informático"@gl
04157320-n	n	"escultura"@gl
14844693-n	n	"terra"@gl
08544813-n	n	"terra"@gl
02159955-n	n	"insecto"@gl
10197967-n	n	"nugallán"@gl
09505418-n	n	"deus"@gl
00657604-n	n	"axuda médica"@gl
06841365-n	n	"signo de puntuación"@gl
04723816-n	n	"calidade"@gl
04194289-n	n	"buque"@gl
14452616-n	n	"infestación"@gl
02716866-n	n	"antibiótico"@gl
13121544-n	n	"hidrófito"@gl
07951464-n	n	"acumulación"@gl
00933420-n	n	"creación artística"@gl
01629276-n	n	"pintarraga"@gl
00209943-n	n	"conclusión"@gl
08198398-n	n	"forza"@gl
10566072-n	n	"tallista"@gl
14548343-n	n	"minusvalía"@gl
09303008-n	n	"cuíña"@gl
07151380-n	n	"dito"@gl
10453533-n	n	"Sumo pontífice"@gl
06828818-n	n	"carácter alfabético"@gl
02394477-n	n	"mamíferos artiodáctilos"@gl
00766234-n	n	"delito"@gl
06758225-n	n	"engano"@gl
00752431-n	n	"engano"@gl
09608709-n	n	"protector"@gl
09614684-n	n	"protector"@gl
13085113-n	n	"grama"@gl
07456188-n	n	"concurso"@gl
07707451-n	n	"hortaliza"@gl
09977660-n	n	"criminal"@gl
00635850-n	n	"escrutinio"@gl
00869583-n	n	"operación matemática"@gl
05996646-n	n	"campo"@gl
13167078-n	n	"xénero dos fentos"@gl
06828818-n	n	"letra do alfabeto"@gl
00023271-n	n	"coñecemento"@gl
03057021-n	n	"abrigo"@gl
02796623-n	n	"obstáculo"@gl
11562747-n	n	"familia das dicotiledóneas"@gl
00863513-n	n	"reflexo instintivo"@gl
02430045-n	n	"veado"@gl
09917593-n	n	"naipelo"@gl
06818970-n	n	"grafía"@gl
00766234-n	n	"crime"@gl
08276720-n	n	"escola"@gl
07555863-n	n	"alimento sólido"@gl
05752544-n	n	"aprendizaxe"@gl
02430045-n	n	"cérvido"@gl
